Rank,Grant ID,Grant Number,Title,Title translated,Abstract,Abstract translated,Funding Amount,Currency,Funding Amount in AUD,Start Date,Start Year,End Date,End Year,Researchers,Research Organization - original,Research Organization - standardized,GRID ID,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,Resulting publications,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
27,grant.8538063,9000558,2018 Equipment Grant,2018 Equipment Grant,,,15839,AUD,15839,1/01/2018,2018,,,Helen Thomson,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT9000558,https://app.dimensions.ai/details/grant/grant.8538063,,,,,,,,
5,grant.7878997,1154002,Bangamalhana: A collaborative throughcare program for young Aboriginal women transitioning from prison to community,Bangamalhana: A collaborative throughcare program for young Aboriginal women transitioning from prison to community,"Young Aboriginal women are being imprisoned at increasing rates. Tailored throughcare programs supporting the transition from prison to the community are beneficial to wellbeing and reducing reoffending. In partnership with Aboriginal communities, young Aboriginal women in prison or recently in prison, their families, and service providers we will co-produce and build capability in the throughcare workforce to deliver culturally appropriate, tailored services for the young Aboriginal women.","Young Aboriginal women are being imprisoned at increasing rates. Tailored throughcare programs supporting the transition from prison to the community are beneficial to wellbeing and reducing reoffending. In partnership with Aboriginal communities, young Aboriginal women in prison or recently in prison, their families, and service providers we will co-produce and build capability in the throughcare workforce to deliver culturally appropriate, tailored services for the young Aboriginal women.",955648,AUD,955648,1/01/2018,2018,,,Elizabeth Sullivan; Eileen Baldry; Juanita Sherwood; Megan Williams; Sungwon Chang; Melissa Kang; James Brown; Sarah Wayland; Faye Worner; Julia Bowman,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT1154002,https://app.dimensions.ai/details/grant/grant.7878997,1117 Public Health and Health Services; 1699 Other Studies In Human Society; 11 Medical and Health Sciences; 16 Studies in Human Society,,,,,,C20 Social Work and Social Policy,
6,grant.7878799,1150970,Improving the quality of maternity care for women with female genital mutilation,Improving the quality of maternity care for women with female genital mutilation,Although we know how to manage the complications and care for pregnant women affected by Female Genital Mutilation (FGM) health outcomes for these women remain poorer than other women in Australia. Women with FGM are dissatisfied with their maternity care and health professionals lack skills. This project aims to improve maternity care for FGM affected women by implementing women centred guidelines to assist communication between women and health professionals and ensure shared decision making.,Although we know how to manage the complications and care for pregnant women affected by Female Genital Mutilation (FGM) health outcomes for these women remain poorer than other women in Australia. Women with FGM are dissatisfied with their maternity care and health professionals lack skills. This project aims to improve maternity care for FGM affected women by implementing women centred guidelines to assist communication between women and health professionals and ensure shared decision making.,179118,AUD,179118,1/01/2018,2018,31/12/2019,2019,Angela Dawson,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT1150970,https://app.dimensions.ai/details/grant/grant.7878799,1117 Public Health and Health Services; 1114 Paediatrics and Reproductive Medicine; 1110 Nursing; 11 Medical and Health Sciences; 11 Medical and Health Sciences; 11 Medical and Health Sciences,Clinical Research,Reproductive Health and Childbirth,7.3 Management and decision making,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",5 Gender Equality
6,grant.7877415,1137745,Delivering quality maternal and newborn care: Translating â  evidence-based practiceâ   into â  every-day practiceâ,Delivering quality maternal and newborn care: Translating â  evidence-based practiceâ   into â  every-day practiceâ,"More than 300,000 women each year in Australia use maternity services. Unfortunately these are not always based on the best available evidence and there are considerable variations across the country. This research will provide much needed information to ensure that all women receive evidence-based care not just some women. The research will be initially conducted in south western Sydney but will ultimately improve the quality of care offered to women and babies across the country and beyond.","More than 300,000 women each year in Australia use maternity services. Unfortunately these are not always based on the best available evidence and there are considerable variations across the country. This research will provide much needed information to ensure that all women receive evidence-based care not just some women. The research will be initially conducted in south western Sydney but will ultimately improve the quality of care offered to women and babies across the country and beyond.",849540,AUD,849540,1/01/2018,2018,31/12/2022,2022,Caroline Homer,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT1137745,https://app.dimensions.ai/details/grant/grant.7877415,1117 Public Health and Health Services; 1114 Paediatrics and Reproductive Medicine; 11 Medical and Health Sciences; 11 Medical and Health Sciences,Health Services; Clinical Research; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period,Reproductive Health and Childbirth,,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",
6,grant.7877114,1141365,Switching tristetraprolin on to turn off inflammation in COPD,Switching tristetraprolin on to turn off inflammation in COPD,Inflammation drives the pathogenesis of chronic obstructive pulmonary disease (COPD). We have developed a novel anti-inflammatory strategy to treat this currently untreatable disease. Our innovation is to use activators of protein phosphatase 2A to switch the molecule tristetraprolin (TTP) on and repress inflammation in COPD. Switching TTP on to turn off inflammation in COPD has proven potential to prevent irreversible damage and halt the progression of COPD.,Inflammation drives the pathogenesis of chronic obstructive pulmonary disease (COPD). We have developed a novel anti-inflammatory strategy to treat this currently untreatable disease. Our innovation is to use activators of protein phosphatase 2A to switch the molecule tristetraprolin (TTP) on and repress inflammation in COPD. Switching TTP on to turn off inflammation in COPD has proven potential to prevent irreversible damage and halt the progression of COPD.,525390,AUD,525390,1/01/2018,2018,31/12/2020,2020,Alaina Ammit; Nicole Verrills; Jonathan Morris; Andrew Clark,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,pub.1131194078; pub.1121881514; pub.1122143022,http://purl.org/au-research/grants/nhmrc/GNT1141365,https://app.dimensions.ai/details/grant/grant.7877114,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,Chronic Obstructive Pulmonary Disease; Lung,Respiratory,2.1 Biological and endogenous factors,,,A01 Clinical Medicine,
6,grant.7876988,1143377,Tumour-on-a-chip models for ex-vivo profiling of immune checkpoint blockades,Tumour-on-a-chip models for ex-vivo profiling of immune checkpoint blockades,"The overall goal of this project is to build novel 3D biochips to culture primary human tumors with their immune cells, and to investigate patient specific responses to immune checkpoint blockade ex-vivo. Since there are currently no validated methodologies to study immunotherapy response in patient-derived cancer specimens, this proposal has the potential to provide a state-of-the art technology for the ‘personalization’ of immunotherapy.","The overall goal of this project is to build novel 3D biochips to culture primary human tumors with their immune cells, and to investigate patient specific responses to immune checkpoint blockade ex-vivo. Since there are currently no validated methodologies to study immunotherapy response in patient-derived cancer specimens, this proposal has the potential to provide a state-of-the art technology for the ‘personalization’ of immunotherapy.",431000,AUD,431000,1/01/2018,2018,31/12/2021,2021,MAJID Ebrahimi Warkiani,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,pub.1123795919; pub.1129073731; pub.1130875986; pub.1104653928; pub.1124341515; pub.1106948135; pub.1126106935; pub.1106112627; pub.1105466585; pub.1124184062; pub.1120164700; pub.1101343742; pub.1128172629; pub.1124097691; pub.1129379121; pub.1127903071; pub.1114069555; pub.1128586598; pub.1120275830; pub.1126937234,http://purl.org/au-research/grants/nhmrc/GNT1143377,https://app.dimensions.ai/details/grant/grant.7876988,1107 Immunology; 11 Medical and Health Sciences,Cancer; Vaccine Related; Clinical Research; Immunization,Cancer,,Not Site-Specific Cancer,5.3 Systemic Therapies - Discovery and Development,A01 Clinical Medicine,
6,grant.7876419,1138004,Defining the roles and targeting interferon-epsilon as a new therapy for influenza in asthma and COPD,Defining the roles and targeting interferon-epsilon as a new therapy for influenza in asthma and COPD,"Influenza is a major cause of illness and death, especially in people with asthma and emphysema. There are issues with vaccines and current treatments are poorly effective. Effective treatments are urgently required. We have found a new immune factor, interferon-epsilon that is induced and used by influenza viruses to cause infection. We aim to understand how this occurs and to test new treatments for influenza that suppress interferon-epsilon, in healthy and susceptible individuals.","Influenza is a major cause of illness and death, especially in people with asthma and emphysema. There are issues with vaccines and current treatments are poorly effective. Effective treatments are urgently required. We have found a new immune factor, interferon-epsilon that is induced and used by influenza viruses to cause infection. We aim to understand how this occurs and to test new treatments for influenza that suppress interferon-epsilon, in healthy and susceptible individuals.",905904,AUD,905904,1/01/2018,2018,31/12/2021,2021,Philip Hansbro; Jay Horvat; Aeron Hurt; Peter Wark,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT1138004,https://app.dimensions.ai/details/grant/grant.7876419,1102 Cardiorespiratory Medicine and Haematology; 1107 Immunology; 11 Medical and Health Sciences; 11 Medical and Health Sciences,Asthma; Lung; Pneumonia & Influenza; Infectious Diseases; Immunization; Emerging Infectious Diseases; Vaccine Related; Influenza; Biodefense; Chronic Obstructive Pulmonary Disease; Prevention,Respiratory; Infection,2.1 Biological and endogenous factors,,,A01 Clinical Medicine,
6,grant.7876306,1137995,Elucidating the role and potential for therapeutic targeting of TLR7 in emphysema and COPD,Elucidating the role and potential for therapeutic targeting of TLR7 in emphysema and COPD,"Emphysema is a major cause of illness and death and there are no effective treatments. It is caused by smoking that damages the airways and air sacs but how this occurs is not well understood. We have found that a new factor, called Toll-like receptor 7, is involved in emphysema. In this study we will now characterise its roles in this disease, work out how it induces emphysema and test new inhibitors (antibodies) that we have developed as treatments.","Emphysema is a major cause of illness and death and there are no effective treatments. It is caused by smoking that damages the airways and air sacs but how this occurs is not well understood. We have found that a new factor, called Toll-like receptor 7, is involved in emphysema. In this study we will now characterise its roles in this disease, work out how it induces emphysema and test new inhibitors (antibodies) that we have developed as treatments.",925780,AUD,925780,1/01/2018,2018,31/12/2021,2021,Philip Hansbro; Kensuke Miyake; Peter Wark; Ian Adcock,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT1137995,https://app.dimensions.ai/details/grant/grant.7876306,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,Lung; Tobacco Smoke and Health; Tobacco; Emphysema; Chronic Obstructive Pulmonary Disease,Respiratory,2.1 Biological and endogenous factors; 5.1 Pharmaceuticals,,,A01 Clinical Medicine,
6,grant.7876201,1138807,Low cost high precision radiotherapy: A synergistic framework for tumour tracking during treatment,Low cost high precision radiotherapy: A synergistic framework for tumour tracking during treatment,"Advances in technology have enabled radiotherapy to become more sophisticated and more efficient at treating cancer. Yet, despite its sophistication, today radiotherapy suffers from a major problem: whilst we routinely image patients prior to treatment, no anatomical information is available during treatment. This project aims to solve this problem by making use of a number of sensors that are already available in a radiotherapy to track the tumours positions during treatment, when it counts.","Advances in technology have enabled radiotherapy to become more sophisticated and more efficient at treating cancer. Yet, despite its sophistication, today radiotherapy suffers from a major problem: whilst we routinely image patients prior to treatment, no anatomical information is available during treatment. This project aims to solve this problem by making use of a number of sensors that are already available in a radiotherapy to track the tumours positions during treatment, when it counts.",318768,AUD,318768,1/01/2018,2018,31/12/2021,2021,Doan Trang Nguyen,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,pub.1106678482; pub.1125954265,http://purl.org/au-research/grants/nhmrc/GNT1138807,https://app.dimensions.ai/details/grant/grant.7876201,1112 Oncology and Carcinogenesis; 11 Medical and Health Sciences,Cancer,Cancer,6.5 Radiotherapy; 5.5 Radiotherapy,Not Site-Specific Cancer,5.1 Localized Therapies - Discovery and Development,B12 Engineering,
7,grant.7874965,1151307,Predicting glaucomatous progression using dynamic imaging applied to a novel tablet-based ophthalmoscope.,Predicting glaucomatous progression using dynamic imaging applied to a novel tablet-based ophthalmoscope.,Glaucoma is a leading cause of blindness. This project aims to determine whether changes in vein pulsations that are visible at the back of the eye (retina) can be used to detect glaucoma.,Glaucoma is a leading cause of blindness. This project aims to determine whether changes in vein pulsations that are visible at the back of the eye (retina) can be used to detect glaucoma.,76838,AUD,76838,1/01/2018,2018,,,Sahar Shariflou,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,,http://purl.org/au-research/grants/nhmrc/GNT1151307,https://app.dimensions.ai/details/grant/grant.7874965,,,Eye,,,,,
7,grant.7874457,1142006,Understanding how a parasite-derived peptide prevents immune mediated demyelination,Understanding how a parasite-derived peptide prevents immune mediated demyelination,"Over millennia of co-evolution with humans, parasitic worms have developed the capacity to modulate the human immune system. We have characterised and identified novel molecules secreted by these worms. In this project we will assess the therapeutic potential of the parasite molecules using animal models of relapsing remitting multiple sclerosis.","Over millennia of co-evolution with humans, parasitic worms have developed the capacity to modulate the human immune system. We have characterised and identified novel molecules secreted by these worms. In this project we will assess the therapeutic potential of the parasite molecules using animal models of relapsing remitting multiple sclerosis.",496978,AUD,496978,1/01/2018,2018,31/12/2020,2020,Sheila Donnelly; Judith Greer,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,pub.1129136472,http://purl.org/au-research/grants/nhmrc/GNT1142006,https://app.dimensions.ai/details/grant/grant.7874457,1107 Immunology; 11 Medical and Health Sciences,Neurodegenerative; Neurosciences; Multiple Sclerosis; Rare Diseases; Autoimmune Disease; Brain Disorders,Inflammatory and Immune System,5.1 Pharmaceuticals,,,"A06 Agriculture, Veterinary and Food Science",
6,grant.7874170,1132370,Development and evaluation of an Internet-based clinic for stuttering.,Development and evaluation of an Internet-based clinic for stuttering.,"Stuttering is a prevalent disorder of speech production. The program of research will establish the world’s first Internet-based stuttering clinic to service all the clinical needs of child, adolescent and adult patients. The Internet-based clinic model will provide economical, scalable and translatable stuttering treatments that will, for the first time, provide a means to adequately manage the public health problem of stuttering.","Stuttering is a prevalent disorder of speech production. The program of research will establish the world’s first Internet-based stuttering clinic to service all the clinical needs of child, adolescent and adult patients. The Internet-based clinic model will provide economical, scalable and translatable stuttering treatments that will, for the first time, provide a means to adequately manage the public health problem of stuttering.",6200965,AUD,6200965,1/01/2018,2018,31/12/2022,2022,Mark Onslow; Ross Menzies; Ann Packman,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,National Health and Medical Research Council,,Australia,pub.1120002525,http://purl.org/au-research/grants/nhmrc/GNT1132370,https://app.dimensions.ai/details/grant/grant.7874170,11 Medical and Health Sciences; 1117 Public Health and Health Services,Clinical Research,Mental Health,,,,C20 Social Work and Social Policy,
3,grant.7850250,417283954,"Novel approaches for a highly sensitive, quantitative and three-dimensional multiplexed analysis by means of hyphenated techniques to investigate the zinc transporter pathway in the ageing mouse brain","Novel approaches for a highly sensitive, quantitative and three-dimensional multiplexed analysis by means of hyphenated techniques to investigate the zinc transporter pathway in the ageing mouse brain","The levels of numerous zinc transporter proteins as well as of associated biomolecules within the brain play a crucial role in learning, memory as well as in cognitive decline. Nevertheless, the cellular and molecular background remains poorly understood. Therefore, the aim of this research project is to develop novel, highly sensitive technology for the investigation of the zinc transporter pathway and its age-related alteration in brain tissue of mice as model organism. This will produce data concerning the role of zinc and associated transporter protein alterations across age for the first time. The innovation of this proposal is based on the development and application of highly sensitive, quantitative and multiplexed elemental and molecular imaging by immunohistochemistry (IHC)-assisted laser ablation-inductively coupled plasma-mass spectrometry (LA-ICP-MS) and its expansion into three dimensions. In order to perform quantitative multiplexing by LA-ICP-MS, antibodies will be conjugated with stable isotope enriched lanthanides detectable via ICP-MS. A robust analytic workflow for the characterisation of labelled antibodies based on size exclusion chromatography (SEC)-ICP-MS will be developed and applied. The combination of a sensitive detection method employing collision cell technology and on-line isotope dilution analysis (IDA) will be the basis for a rapid on-site quality control of labelled antibodies and will enable to determine the antibody/metal stoichiometry.In a second step, a robust IHC method employing the labelled antibodies will be developed in order to perform a multiplexed analysis of selected zinc transporter proteins in mouse brain tissue by LA-ICP-MS. The in the first part developed SEC-ICP-MS method will be the basis to relate the zinc transporter protein concentration with the metal content within the antibodies’ label. To obtain quantitative mapping data, a new calibration method shall be established exploiting the fact that multiplexing protocols deploy stable isotope enriched lanthanides. A new on-line IDA technique for LA-ICP-MS will be developed to perform accurate, sensitive and fast quantification. Sensitivities will subsequently be maximised by optimising the instrumentation to enhance image contrasts and resolutions.The combination of the aforementioned hyphenated techniques will finally allow to investigate the expression of selected Zn transporter proteins and biologically relevant elements in mouse brain tissue. Brains of mice across different ages and with distinct cognitive abilities will be studied in order to understand basic age-related alterations in these key cellular elements, which are believed to play a role in memory through control of the cellular homeostasis of zinc. A three-dimensional multiplexing approach will finally be established in order to generate a mouse brain atlas containing the distributions of zinc and its transporter proteins.","The levels of numerous zinc transporter proteins as well as of associated biomolecules within the brain play a crucial role in learning, memory as well as in cognitive decline. Nevertheless, the cellular and molecular background remains poorly understood. Therefore, the aim of this research project is to develop novel, highly sensitive technology for the investigation of the zinc transporter pathway and its age-related alteration in brain tissue of mice as model organism. This will produce data concerning the role of zinc and associated transporter protein alterations across age for the first time. The innovation of this proposal is based on the development and application of highly sensitive, quantitative and multiplexed elemental and molecular imaging by immunohistochemistry (IHC)-assisted laser ablation-inductively coupled plasma-mass spectrometry (LA-ICP-MS) and its expansion into three dimensions. In order to perform quantitative multiplexing by LA-ICP-MS, antibodies will be conjugated with stable isotope enriched lanthanides detectable via ICP-MS. A robust analytic workflow for the characterisation of labelled antibodies based on size exclusion chromatography (SEC)-ICP-MS will be developed and applied. The combination of a sensitive detection method employing collision cell technology and on-line isotope dilution analysis (IDA) will be the basis for a rapid on-site quality control of labelled antibodies and will enable to determine the antibody/metal stoichiometry.In a second step, a robust IHC method employing the labelled antibodies will be developed in order to perform a multiplexed analysis of selected zinc transporter proteins in mouse brain tissue by LA-ICP-MS. The in the first part developed SEC-ICP-MS method will be the basis to relate the zinc transporter protein concentration with the metal content within the antibodies’ label. To obtain quantitative mapping data, a new calibration method shall be established exploiting the fact that multiplexing protocols deploy stable isotope enriched lanthanides. A new on-line IDA technique for LA-ICP-MS will be developed to perform accurate, sensitive and fast quantification. Sensitivities will subsequently be maximised by optimising the instrumentation to enhance image contrasts and resolutions.The combination of the aforementioned hyphenated techniques will finally allow to investigate the expression of selected Zn transporter proteins and biologically relevant elements in mouse brain tissue. Brains of mice across different ages and with distinct cognitive abilities will be studied in order to understand basic age-related alterations in these key cellular elements, which are believed to play a role in memory through control of the cellular homeostasis of zinc. A three-dimensional multiplexing approach will finally be established in order to generate a mouse brain atlas containing the distributions of zinc and its transporter proteins.",0,,,1/01/2018,2018,,,Philip Doble; David Clases,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,German Research Foundation,,Germany,pub.1121555089; pub.1123639881; pub.1113753751; pub.1127449657; pub.1124216543; pub.1110818120; pub.1120500207,https://gepris.dfg.de/gepris/projekt/417283954?language=en,https://app.dimensions.ai/details/grant/grant.7850250,0301 Analytical Chemistry; 0601 Biochemistry and Cell Biology; 03 Chemical Sciences; 06 Biological Sciences,Neurosciences; Brain Disorders; Biotechnology,Neurological,1.1 Normal biological development and functioning,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",
15,grant.7698650,N/A,"Sporting Bodies, Cultural Perspectives","Sporting Bodies, Cultural Perspectives",,,0,,,1/01/2018,2018,1/05/2018,2018,Jessica Schultz,University of Technology Sydney,University of Technology Sydney; Pennsylvania State University,grid.117476.2; grid.29857.31,Sydney; State College,New South Wales; Pennsylvania,Australia; United States,Council for International Exchange of Scholars,,United States,,https://www.cies.org/grantee/jessica-schultz,https://app.dimensions.ai/details/grant/grant.7698650,,,,,,,,
3,grant.7671253,IH180100020,ARC Research Hub for Integrated Energy Storage Solutions,ARC Research Hub for Integrated Energy Storage Solutions,"The ARC Research Hub for Integrated Energy Storage Solutions aims to develop advanced energy storage technologies, including printed batteries, structural supercapacitors, innovative fuel cells and power-to-gas systems. It plans to integrate these storage solutions with existing energy networks and applications using novel storage monitoring, control and optimisation technologies. The Hub is expected to generate new knowledge in storage technology manufacturing, control and management. Expected outcomes include cheaper and more effective storage devices and better storage integration solutions, supporting renewables, reducing carbon emissions, and improving efficiency in the energy sector. Resulting benefits include a more sustainable, secure, reliable and economically efficient energy supply. This Hub will contribute to improving the economic efficiency of Australia’s energy sector.","The ARC Research Hub for Integrated Energy Storage Solutions aims to develop advanced energy storage technologies, including printed batteries, structural supercapacitors, innovative fuel cells and power-to-gas systems. It plans to integrate these storage solutions with existing energy networks and applications using novel storage monitoring, control and optimisation technologies. The Hub is expected to generate new knowledge in storage technology manufacturing, control and management. Expected outcomes include cheaper and more effective storage devices and better storage integration solutions, supporting renewables, reducing carbon emissions, and improving efficiency in the energy sector. Resulting benefits include a more sustainable, secure, reliable and economically efficient energy supply. This Hub will contribute to improving the economic efficiency of Australia’s energy sector.",3058152,AUD,3058152,1/01/2018,2018,31/12/2021,2021,Zhao Yang Dong; Guoxiu Wang; Rose Amal; Kondo-Francois Aguey-Zinsou; Jie Bao; Chun Wang; Maria Skyllas-Kazacos; Chris Menictas; Patrick Howlett; Liming Dai; Da-Wei Wang; Ke Meng; Jason Scott; Vicki Chen; Ziyuan Tong; Anna Bruce; Alistair Sproul; Iain MacGill; Andrew Rider; Jing Qiu; Aniruddha Kulkarni; Sarbjit Giddey; Hongming Yang; Shuo Chen; Yan Li; Mark Leckenby; Te Tan; Michael Jansen; Vera Lockett; Peter Olek; Enej Catovic,UNSW Sydney,UNSW Sydney; University of Technology Sydney; Deakin University; Commonwealth Scientific and Industrial Research Organisation; Defence Science and Technology Group,grid.1005.4; grid.117476.2; grid.1021.2; grid.1016.6; grid.431245.5,Sydney; Sydney; Geelong; Canberra; Canberra,New South Wales; New South Wales; Victoria; Australian Capital Territory; Australian Capital Territory,Australia; Australia; Australia; Australia; Australia,Australian Research Council,,Australia,pub.1127874970; pub.1122066992; pub.1122236795; pub.1128922560; pub.1117375220; pub.1112381812; pub.1124245395; pub.1113713290; pub.1124882677; pub.1129416646; pub.1128166362; pub.1125494032; pub.1122791880; pub.1124082690; pub.1127840221; pub.1113066007; pub.1122088636; pub.1114352836; pub.1130825424; pub.1121804603; pub.1129045530; pub.1112235161; pub.1117829513; pub.1124632445; pub.1124008387; pub.1121161620; pub.1129665741; pub.1122236797; pub.1116154584; pub.1130168038; pub.1129667038; pub.1128112306; pub.1128915014; pub.1114531640; pub.1128174423; pub.1114506322; pub.1115225880; pub.1124876395; pub.1128333407; pub.1120610447; pub.1123096736; pub.1127358433; pub.1127481148; pub.1125798546; pub.1129779199; pub.1129683985,http://purl.org/au-research/grants/arc/IH180100020,https://app.dimensions.ai/details/grant/grant.7671253,0306 Physical Chemistry (incl. Structural); 0906 Electrical and Electronic Engineering; 03 Chemical Sciences; 09 Engineering,,,,,,B12 Engineering,7 Affordable and Clean Energy
6,grant.7671242,FT180100705,Functional carbon composites to power a sustainable future,Functional carbon composites to power a sustainable future,"This project aims to address the limitation of current energy storage technologies though the development of functional carbon-based materials for the next generation of energy storage systems with high capacity, high energy/power density, excellent retention and low cost. The progress of energy storage technology plays a critical role in the development of portable devices in daily life. This project will synthesise a series of carbon-based composites via an electrospinning method, and their properties will be assessed and characterised as electrode materials for high performance energy storage devices.","This project aims to address the limitation of current energy storage technologies though the development of functional carbon-based materials for the next generation of energy storage systems with high capacity, high energy/power density, excellent retention and low cost. The progress of energy storage technology plays a critical role in the development of portable devices in daily life. This project will synthesise a series of carbon-based composites via an electrospinning method, and their properties will be assessed and characterised as electrode materials for high performance energy storage devices.",733125,AUD,733125,1/01/2018,2018,31/12/2021,2021,Hao Liu,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,Australian Research Council,,Australia,pub.1112704923; pub.1123153170; pub.1118005921; pub.1126706015; pub.1114018624; pub.1129443445; pub.1117873254; pub.1113043798; pub.1120790158,http://purl.org/au-research/grants/arc/FT180100705,https://app.dimensions.ai/details/grant/grant.7671242,0912 Materials Engineering; 0306 Physical Chemistry (incl. Structural); 1007 Nanotechnology; 0303 Macromolecular and Materials Chemistry; 09 Engineering; 03 Chemical Sciences; 10 Technology; 03 Chemical Sciences,,,,,,B12 Engineering,7 Affordable and Clean Energy
6,grant.7671110,LP170101238,Terahertz lasers in the fight against illicit substances,Terahertz lasers in the fight against illicit substances,"This project aims to investigate the application of cutting-edge terahertz laser technology with new spectroscopic methods, for detection of illicit substances. Using a collaborative approach, the project aims to bring together expertise in laser physics, spectroscopy, law enforcement and instrumentation, and seeks to develop new sources and detection protocols which will offer new capabilities to law enforcement, aiding in detection and identification protocols for illicit substances.","This project aims to investigate the application of cutting-edge terahertz laser technology with new spectroscopic methods, for detection of illicit substances. Using a collaborative approach, the project aims to bring together expertise in laser physics, spectroscopy, law enforcement and instrumentation, and seeks to develop new sources and detection protocols which will offer new capabilities to law enforcement, aiding in detection and identification protocols for illicit substances.",350000,AUD,350000,1/01/2018,2018,31/12/2020,2020,Andrew Lee; Helen Pask; David Spence; Brian Reedy; Nils Hempler; Mark TAHTOUH; Adrian De Grazia,Macquarie University,Macquarie University; University of Technology Sydney; Australian Federal Police,grid.1004.5; grid.117476.2; grid.467687.c,Sydney; Sydney; Canberra,New South Wales; New South Wales; Australian Capital Territory,Australia; Australia; Australia,Australian Research Council,,Australia,,http://purl.org/au-research/grants/arc/LP170101238,https://app.dimensions.ai/details/grant/grant.7671110,0299 Other Physical Sciences; 02 Physical Sciences,,,,,,B09 Physics,
5,grant.7671077,LP170100891,Reshaping superannuation practice in Australia using big data analytics,Reshaping superannuation practice in Australia using big data analytics,"This project aims to reform superannuation investment practices in Australia. Using sophisticated data analytics and machine-learning techniques, combined with economic modelling and quantitative finance. The project will try to understand the broad characteristics of Australian superannuation investors and their practice from a ‘big data’ perspective. The expected outcomes of this project are the identification of key determinants for successful superannuation behaviour to inform decision-making for better superannuation practices and policies. It is expected that the insights arising from this project will contribute to safeguarding the future of Australia’s superannuation schemes, and to better financial security at retirement.","This project aims to reform superannuation investment practices in Australia. Using sophisticated data analytics and machine-learning techniques, combined with economic modelling and quantitative finance. The project will try to understand the broad characteristics of Australian superannuation investors and their practice from a ‘big data’ perspective. The expected outcomes of this project are the identification of key determinants for successful superannuation behaviour to inform decision-making for better superannuation practices and policies. It is expected that the insights arising from this project will contribute to safeguarding the future of Australia’s superannuation schemes, and to better financial security at retirement.",415893,AUD,415893,1/01/2018,2018,31/12/2020,2020,Guandong Xu; Xuezhong (Tony) He; Jian Pei; Edmund Brownlow; Todd Stevenson,University of Technology Sydney,University of Technology Sydney; Simon Fraser University,grid.117476.2; grid.61971.38,Sydney; Burnaby,New South Wales; British Columbia,Australia; Canada,Australian Research Council,,Australia,pub.1107416730; pub.1125587273; pub.1123988106; pub.1117966789; pub.1107957539; pub.1113713252; pub.1121183991; pub.1127467603,http://purl.org/au-research/grants/arc/LP170100891,https://app.dimensions.ai/details/grant/grant.7671077,1402 Applied Economics; 14 Economics,,,,,,C17 Business and Management Studies,
